number,value,datetime_start,datetime_complete,duration,params_pop_size,params_sigma,state
0,62.21887198962631,2024-10-12 12:13:07.893367,2024-10-12 13:30:45.745414,0 days 01:17:37.852047,100,6.9218309848201205,COMPLETE
1,62.63587804057073,2024-10-12 12:13:07.893899,2024-10-12 12:49:31.051045,0 days 00:36:23.157146,45,5.07952924859995,COMPLETE
2,58.94523424768034,2024-10-12 12:13:07.894330,2024-10-12 13:50:06.964706,0 days 01:36:59.070376,174,0.6396334216269066,COMPLETE
3,61.38150072806356,2024-10-12 12:13:07.894854,2024-10-12 13:35:26.815249,0 days 01:22:18.920395,121,0.4137964809950822,COMPLETE
4,60.61533551437445,2024-10-12 12:13:07.895377,2024-10-12 13:31:04.686872,0 days 01:17:56.791495,101,0.3055646102019872,COMPLETE
5,62.531416372967215,2024-10-12 12:13:07.895920,2024-10-12 13:24:59.599439,0 days 01:11:51.703519,95,1.801785327713335,COMPLETE
6,61.16295025237184,2024-10-12 12:13:07.896370,2024-10-12 12:47:10.326304,0 days 00:34:02.429934,38,0.4393001070811185,COMPLETE
7,61.6032986240422,2024-10-12 12:13:07.896710,2024-10-12 13:50:13.927147,0 days 01:37:06.030437,174,1.7813757259676248,COMPLETE
8,59.39787766249351,2024-10-12 12:47:10.575842,2024-10-12 13:15:09.040070,0 days 00:27:58.464228,26,0.7566558243229979,COMPLETE
9,62.643675224177,2024-10-12 12:49:31.184559,2024-10-12 13:27:23.416158,0 days 00:37:52.231599,58,0.7336350010265406,COMPLETE
