number,value,datetime_start,datetime_complete,duration,params_compatibility_threshold,params_conn_add_prob,params_conn_delete_prob,params_enabled_mutate_rate,params_node_add_prob,params_node_delete_prob,params_num_hidden,params_pop_size,params_weight_init_mean,params_weight_init_stdev,params_weight_mutate_power,state
0,75.50985701006336,2024-10-16 19:34:27.379186,2024-10-16 20:04:51.646167,0 days 00:30:24.266981,0.725710782155583,0.5422940027061909,0.09039168278384668,0.7298581825865902,0.8308728890777394,0.10904232742195419,1,151,0.9564774355248615,0.14288840753656162,5.6458250409079,COMPLETE
1,77.72145910588547,2024-10-16 19:34:27.381196,2024-10-16 19:39:01.950061,0 days 00:04:34.568865,0.9008129033162282,0.5497196035693167,0.5856465774217374,0.5086033815917566,0.014428736087588878,0.3923315442268557,5,23,0.8105354545949999,0.05973957119643525,1.9873433756698766,COMPLETE
2,87.01044339612372,2024-10-16 19:34:27.383074,2024-10-16 20:13:35.779314,0 days 00:39:08.396240,7.541962708667866,0.07545430252090901,0.3182508970714535,0.1604077330945315,0.5470395891627454,0.5758031960988231,9,196,-0.6868317922854412,0.7304699465353228,3.608751390953222,COMPLETE
3,80.37913524173665,2024-10-16 19:34:27.385806,2024-10-16 19:44:28.382605,0 days 00:10:00.996799,1.8222380252258819,0.836193181199982,0.7755890472303517,0.044516029192374296,0.2741282189554709,0.5676194753793157,6,51,0.13569706904971346,0.7243925416527225,2.047171303701485,COMPLETE
4,77.74745671829417,2024-10-16 19:34:27.387006,2024-10-16 20:03:56.431185,0 days 00:29:29.044179,7.978848222647765,0.7678583336252928,0.35957804679590577,0.4385771437418604,0.43269778144062043,0.9788772030564502,10,146,-0.42810075752156607,0.8122577332633463,9.759667643260984,COMPLETE
5,81.84562763118726,2024-10-16 19:34:27.389295,2024-10-16 20:10:23.427972,0 days 00:35:56.038677,7.64130694926372,0.4437231598948844,0.3706219433025755,0.12046741474414047,0.9171894480958827,0.2464194871684735,6,175,0.4450277387861741,0.8204559230255162,4.390763571342774,COMPLETE
6,79.27038565284461,2024-10-16 19:39:02.028732,2024-10-16 20:01:37.549837,0 days 00:22:35.521105,4.099939304054947,0.842670134704936,0.46834166802961996,0.6752747340705437,0.6264313887985744,0.7940936447051671,1,111,-0.2920927416677128,0.32486158968159273,6.73558278780793,COMPLETE
7,79.29417346597539,2024-10-16 19:44:28.467277,2024-10-16 19:53:17.451454,0 days 00:08:48.984177,5.107502300650215,0.7476533913759408,0.4975581861474917,0.27081025166440686,0.09058152463059033,0.48901575707636236,5,48,0.2748369795145249,0.8241243409731942,7.3399372075860425,COMPLETE
8,83.92727165068179,2024-10-16 19:53:17.538522,2024-10-16 20:26:41.807685,0 days 00:33:24.269163,9.846724050890847,0.4677677515684945,0.7050979637652741,0.39288679142324157,0.07283151342561422,0.8196742166024401,10,167,0.32839941301867315,0.3860782632767761,0.20915491179790746,COMPLETE
9,81.5117194736299,2024-10-16 20:01:37.630024,2024-10-16 20:20:13.424840,0 days 00:18:35.794816,6.339419451835109,0.225847992643462,0.46627510660784666,0.3646331926500559,0.08152352471194424,0.7126000878788886,2,93,-0.6101537751616142,0.8954727223734843,9.349643968033089,COMPLETE
10,79.79022482002361,2024-10-16 20:03:56.512770,2024-10-16 20:20:32.967881,0 days 00:16:36.455111,0.9115750450153404,0.2587078831147046,0.5355820394196887,0.792969036770969,0.3730552394210537,0.44062867453732113,1,83,-0.389564771955762,0.2964464325767814,4.039122284119405,COMPLETE
11,77.68989980029251,2024-10-16 20:04:51.723984,2024-10-16 20:19:20.160340,0 days 00:14:28.436356,0.3600775212292484,0.543486975322685,0.6147552310792019,0.3507437268340219,0.8543985319588575,0.7251935640571474,9,71,-0.3047894396704247,0.2555361347754801,4.975048371923615,COMPLETE
12,78.04109126215833,2024-10-16 20:10:23.504865,2024-10-16 20:49:19.735319,0 days 00:38:56.230454,7.335219648497514,0.1599875269449491,0.10771672360874185,0.45115181182198605,0.28652504771367515,0.2196029310765012,4,190,0.3293917580766954,0.8449939027941122,4.623955475670297,COMPLETE
13,72.5630102258511,2024-10-16 20:13:35.854912,2024-10-16 20:23:25.405264,0 days 00:09:49.550352,6.363497788315352,0.6406371843954812,0.6627029387278419,0.8763026907723114,0.8703078964312163,0.03538384414045448,8,48,0.23946991115198402,0.9664681595998466,8.582815443255068,COMPLETE
14,77.62026738267345,2024-10-16 20:19:20.239358,2024-10-16 20:49:24.051106,0 days 00:30:03.811748,2.1115389144963825,0.8382068105912471,0.15515350044552612,0.28756028381672116,0.8370704213944644,0.4603572150562958,1,144,-0.1628619523102237,0.9858275483937843,4.1489450263925445,COMPLETE
15,79.47507595616501,2024-10-16 20:20:13.485289,2024-10-16 20:56:12.657948,0 days 00:35:59.172659,9.861067702650727,0.0040842421668944445,0.03332652214430021,0.9641221159793771,0.6257009330555742,0.04037880527346849,8,195,-0.9977083804176401,0.5413389088956688,0.09039157235181605,COMPLETE
16,83.00956785866008,2024-10-16 20:20:33.015768,2024-10-16 20:56:54.291497,0 days 00:36:21.275729,9.398882158069586,0.019996924335779535,0.23430432483414104,0.033509879718481766,0.9978093242232116,0.1929256820832358,8,200,-0.9422890160742047,0.5913716102922302,0.2086005538080382,COMPLETE
17,81.16996963370201,2024-10-16 20:23:25.513502,2024-10-16 20:57:56.810864,0 days 00:34:31.297362,9.768676509661836,0.01303247370889539,0.22417022070037257,0.017010804134019702,0.6255657976549951,0.2871414767896697,7,197,-0.8571387641111006,0.6004849850247646,0.13495236726354243,COMPLETE
18,81.0527868344394,2024-10-16 20:26:41.888541,2024-10-16 20:59:57.631888,0 days 00:33:15.743347,9.693588671288623,0.01632907424065899,0.9510921123424014,0.18540525889103,0.5903288351443324,0.8817516672369592,8,195,-0.9891296686767012,0.5616213728266475,0.060901097469983956,COMPLETE
19,80.77298498833936,2024-10-16 20:49:19.798754,2024-10-16 21:10:37.464958,0 days 00:21:17.666204,9.703471208126857,0.0037163688673114287,0.9144237106174696,0.20119000806085008,0.6257646145409632,0.9523696896713041,8,158,-0.9491547637934383,0.5244788331604757,0.05856864898288627,COMPLETE
20,80.9629310217461,2024-10-16 20:49:24.090624,2024-10-16 21:18:20.639237,0 days 00:28:56.548613,9.155812676852522,0.025344934440159672,0.8716229481116603,0.17321073594960706,0.6322693965776927,0.8724588551563264,8,200,-0.8682049215252953,0.5600279895140099,0.8540555749910523,COMPLETE
21,80.43563090454599,2024-10-16 20:56:12.834356,2024-10-16 21:13:33.039743,0 days 00:17:20.205387,9.73787448044887,0.39526946946505725,0.9548543108390216,0.14233182774009853,0.6032345693997787,0.9191649538572686,10,120,-0.9834776834068077,0.5526681275570922,0.1790799599651387,COMPLETE
22,81.05089833909324,2024-10-16 20:56:54.332168,2024-10-16 21:24:21.541380,0 days 00:27:27.209212,8.779363011393794,0.9764892450181178,0.9793104967977931,0.17668822241484622,0.5210494349651723,0.9412828607566668,10,169,0.5866156343182916,0.443674594721658,2.680246238134007,COMPLETE
23,80.27218100987531,2024-10-16 20:57:56.872411,2024-10-16 21:15:13.057833,0 days 00:17:16.185422,8.897427618513678,0.9965966946336843,0.9973642196858605,0.17842787154164316,0.5405469906168564,0.9478491992556061,10,119,-0.025234866121310873,0.48233990626423995,2.4810935658781466,COMPLETE
24,79.42381533643083,2024-10-16 20:59:57.673476,2024-10-16 21:19:17.711975,0 days 00:19:20.038499,8.554470422579275,0.39318637374629184,0.7935822945457157,0.5886227671928329,0.21753052132035766,0.6362339774954243,10,121,0.6265862750721114,0.4240571688649722,2.478384199099829,COMPLETE
25,84.37999147490727,2024-10-16 21:10:37.529394,2024-10-16 21:31:08.893561,0 days 00:20:31.364167,8.374516485773702,0.37809511652473854,0.754353307887573,0.5318334737904508,0.18217111861004473,0.5950634538139853,10,114,0.576648972979604,0.69216893451508,2.6948046798089704,COMPLETE
26,84.04822287833733,2024-10-16 21:13:33.104129,2024-10-16 21:37:10.448958,0 days 00:23:37.344829,8.58323326886856,0.14270045897807193,0.24166093119981694,0.5451153935366471,0.7554222231747667,0.5781261745593295,9,169,-0.6646152799701375,0.40523445296044025,1.808351024383259,COMPLETE
27,80.95907742108788,2024-10-16 21:15:13.116442,2024-10-16 21:38:00.794433,0 days 00:22:47.677991,8.569594257000508,0.3296007735417788,0.23963491377929302,0.5922450889730184,0.7458324302174077,0.5842805836690574,9,172,-0.6907096700700058,0.6956654816162402,1.3831814936771933,COMPLETE
28,83.96302971242638,2024-10-16 21:18:20.696758,2024-10-16 21:39:13.971994,0 days 00:20:53.275236,8.432614656195264,0.14317688810339843,0.2826600428406019,0.0004194012545573056,0.21881539612871947,0.6036764425000646,9,173,-0.6471006435771237,0.6741348259677684,2.935087820411735,COMPLETE
29,88.09418315517848,2024-10-16 21:19:17.758111,2024-10-16 21:38:24.593237,0 days 00:19:06.835126,6.563394634392941,0.11418744931923913,0.2549014405551832,0.039722354645182534,0.9910746623504666,0.5885849153769156,9,176,-0.6645001089568773,0.7148908558863448,1.2753344255963164,COMPLETE
